date,question,committee
2025-05-06,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 7, 11, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 41, 42, 43, 46, 47, 48, 49, 53, 60, 65, 66, 67, 69, 73, 74, 75, 79, 80, 84, 86, 88, 92, 93, 94, 98, 99, 100, 104, 106, 108, 124, 134, 139, 141 straipsnių,  III skyriaus aštuntojo skirsnio ir V skyriaus šeštojo skirsnio pavadinimų pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-05-06,"Žemės reformos įstatymo Nr. I-1607 8, 9, 10, 13 ir 19 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-30,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-04-30,"Melioracijos įstatymo Nr. I-323 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-30,"Aplinkos ministerijos ir UAB ""Vilniaus apskrities atliekų tvarkymo centro"" pozicija dėl Kazokiškių sąvartyno veiklos (parlamentinės kontrolės tęsinys)",Aplinkos apsaugos komitetas
2025-04-30,Dėl ESO savarankiškų tvarkų projektavimo procesuose (parlamentinė kontrolė),Aplinkos apsaugos komitetas
2025-04-30,"Dėl Komitete gautų raštų, susijusių su miškų ūkio problemomis",Aplinkos apsaugos komitetas
2025-04-30,"Dėl gaisro atliekų tvarkymo gamykloje, Vilniuje, Jočionių g.",Aplinkos apsaugos komitetas
2025-04-30,Kiti klausimai,Aplinkos apsaugos komitetas
2025-04-23,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-04-23,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 91, 92, 93, 94 ir 96 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-23,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 7, 11, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 41, 42, 43, 46, 47, 48, 49, 53, 60, 65, 66, 67, 69, 73, 74, 75, 79, 80, 84, 86, 88, 92, 93, 94, 98, 99, 100, 104, 106, 108, 124, 134, 139, 141 straipsnių,  III skyriaus aštuntojo skirsnio ir V skyriaus šeštojo skirsnio pavadinimų pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-23,Dėl Kazokiškių sąvartyno skleidžiamų kvapų ir veiklos apimčių (parlamentinė kontrolė).,Aplinkos apsaugos komitetas
2025-04-23,Kiti klausimai,Aplinkos apsaugos komitetas
2025-04-17,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 42, 43, 46, 48, 49, 53, 60, 65, 66, 67, 73, 74, 75, 79, 80, 92, 93, 94, 98, 99, 100, 104, 106, 108, 124, 134, 139 straipsnių ir V skyriaus šeštojo skirsnio pavadinimo pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-16,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-04-16,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl pasienio anglies dioksido korekcinio mechanizmo supaprastinimo ir stiprinimo iš dalies keičiamas Reglamentas (ES) 2023/956 (,Aplinkos apsaugos komitetas
