date,question,committee,project_id,responsible_actor,invited_presenters
2025-03-26,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",Žmogaus teisių komitetas,XVP-148,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,
2025-03-26,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-149,L.  ŠedvydisA.  NedzinskasE. G.  Gibė,
2025-03-26,Kiti klausimai.Dėl kito komiteto posėdžio darbotvarkės.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-03-19,Posėdžio darbotvarkės tvirtinimas,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
2025-03-19,"Komisijos Komunikatas Europos Parlamentui, Tarybai, Europos Ekonomikos ir socialinių reikalų komitetui ir Regionų komitetui. 2025 m. Komisijos darbo programa",Žmogaus teisių komitetas,"ES-2025-13, COM/2025/45",L.  ŠedvydisR.  Ragaliauskienė,
2025-03-19,"Komisijos Komunikatas Europos Parlamentui ir Tarybai dėl kovos su hibridinėmis grėsmėmis, kylančiomis naudojant migraciją kaip ginklą, ir saugumo prie ES išorės sienų stiprinimo",Žmogaus teisių komitetas,"ES-2025-1, COM/2024/570",L.  ŠedvydisA.  NedzinskasR.  Ragaliauskienė,
2025-03-19,ES migracijos ir prieglobsčio pakto nacionalinio įgyvendinimo plano pristatymas,Žmogaus teisių komitetas,,L.  ŠedvydisA.  NedzinskasR.  Ragaliauskienė,
2025-03-19,"Susirinkimų įstatymo Nr. I-317 4, 6, 7, 8, 9, 12 ir 14 straipsnių pakeitimo įstatymo projektas",Žmogaus teisių komitetas,XVP-108,L.  ŠedvydisM.  MaldeikisI.  Strazdė,
2025-03-19,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-132(2),L.  ŠedvydisE. G.  Gibė,
2025-03-19,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-147,L.  ŠedvydisE. G.  Gibė,
2025-03-19,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",Žmogaus teisių komitetas,XVP-148,L.  ŠedvydisE. G.  Gibė,
2025-03-19,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,Žmogaus teisių komitetas,XVP-149,L.  ŠedvydisE. G.  Gibė,
2025-03-19,Kiti klausimai.,Žmogaus teisių komitetas,,L.  ŠedvydisJ.  Savickienė,
