date,question,committee,project,responsible,attendees
2025-06-19,Pagrindinis (svarstymo tęsinys),Ekonomikos komitetas,Akcinių bendrovių įstatymo Nr. VIII-1835 37(1) straipsnio pakeitimo įstatymo projektas,,
2025-06-18,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-18,"Geležinkelių transporto kodekso patvirtinimo, įsigaliojimo ir taikymo įstatymo Nr. IX-2152 4 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Susisiekimo ministerijos, Ryšių reguliavimo tarnybos, UAB „LTG Link“, AB „LTG Infra“atstovai",Ekonomikos komitetas,IX-2152,I.  GelažnikienėA.  BagdonasD.  Šaltmeris,
2025-06-18,Pagrindinis (svarstymas),Ekonomikos komitetas,"Geležinkelių transporto kodekso 1, 3, 7-1, 9, 10-1, 15, 19, 22, 23, 23-1, 24, 24-1, 25, 25-2, 29-8, 30-1, 30-2, 30-3, 30-4, 33, 34 straipsnių, ketvirtojo skirsnio pavadinimo, priedo pakeitimo, Kodekso papildymo 25-4, 30-5 straipsniais, aštuntuoju skirsniu ir penktojo skirsnio pripažinimo netekusiu galios įstatymo projektasKviečiami dalyvauti:​Susisiekimo ministerijos, Ryšių reguliavimo tarnybos, UAB „LTG Link“, AB „LTG Infra“atstovai​",,
2025-06-18,"Seimo narių S. Gentvilo ir kt. (2025-06-16) pasiūlymai Alternatyviųjų degalų įstatymo Nr. XIV-196 1, 2, 5, 11, 13, 16, 17, 18, 19, 20, 21, 23, 31, 32, 33 straipsnių pakeitimo ir Įstatymo papildymo 20-1 straipsniu įstatymo projektui Kviečiami dalyvauti: ​Seimo narys S. Gentvilas, Energetikos ministerijos, Susisiekimo ministerijos atstovai",Ekonomikos komitetas,XIV-196,B.  VėsaitėD.  KreivysL.  Jasiukėnienė,
2025-06-18,"Teisės departamento (2025-06-13) išvada Energetikos įstatymo Nr. IX-884 2, 8, 24-1, 24-2, 25, 26, 36 straipsnių pakeitimo ir Įstatymo papildymo 26-1 straipsniu įstatymo projektui Kviečiami dalyvauti: ​Energetikos ministerijos atstovai",Ekonomikos komitetas,IX-884,B.  VėsaitėD.  KreivysR. O.  DuburaitėR.  Petkūnienė,
2025-06-18,Valstybės ir savivaldybės įmonių įstatymo Nr. I-722 11 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​​Ekonomikos ir inovacijų ministerijos atstovai​,Ekonomikos komitetas,I-722,T.  SadauskisV.  FiodorovasD.  KreivysD.  Šaltmeris,
2025-06-18,Pagrindinis (svarstymas),Ekonomikos komitetas,Akcinių bendrovių įstatymo Nr. VIII-1835 37(1) straipsnio pakeitimo įstatymo projektasKviečiami dalyvauti:​​Ekonomikos ir inovacijų ministerijos atstovai​,,
2025-06-18,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas Kviečiami dalyvauti: ​Užsienio reikalų ministerijos atstovai",Ekonomikos komitetas,XVP-586,S.  BucevičiusB.  VėsaitėR. O.  Duburaitė,
2025-06-18,"Turizmo įstatymo Nr. VIII-667 32 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Seimo narys A. Zuokas, ​Ekonomikos ir inovacijų ministerijos atstovai​",Ekonomikos komitetas,VIII-667,J.  RojakaA.  BagdonasI.  Jurkšuvienė,
