date,question,committee,project,responsible,attendees
2025-05-14,Dėl asmenų su negalia socialinės integracijos sistemos pokyčių įgyvendinimo,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisD.  Aleksejūnienė,
2025-05-14,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",Socialinių reikalų ir darbo komitetas,IX-1691,,
2025-05-14,Papildomas (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-05-14,Pagrindinis (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Pagrindinis (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-05-14,Pagrindinis (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Papildomas (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-05-07,Paramos būstui įsigyti ar išsinuomoti įstatymo Nr. XII-1215 12 ir 13 straipsnių pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,XII-1215,L.  KukuraitisE.  RudelienėD.  Aleksejūnienė,
2025-05-07,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-05-07,Pagrindinis (svarstymas),Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Papildomas (svarstymas),Socialinių reikalų ir darbo komitetas,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,
2025-05-07,Papildomas (svarstymas),Socialinių reikalų ir darbo komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Papildomas (svarstymas),Socialinių reikalų ir darbo komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Garantijų darbuotojams jų darbdaviui tapus nemokiam ir ilgalaikio darbo išmokų įstatymo Nr. XII-2604 9 straipsnio pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,XII-2604,,
2025-05-07,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
