date,committee,question,project,responsible,attendees
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Pirkimų, atliekamų vandentvarkos, energetikos, transporto ar pašto paslaugų srities perkančiųjų subjektų, įstatymo Nr. XIII-328 8 priedo pakeitimo įstatymo projektas",,
2025-05-14,Ekonomikos komitetas,Pagrindinis (svarstymas),"Koncesijų įstatymo Nr. I-1510 14, 31 straipsnių ir 7 priedo pakeitimo įstatymo projektas",,
2025-05-14,Ekonomikos komitetas,"Viešųjų pirkimų tarnybos 2024 metų veiklos ataskaita ​​Pranešėjas: Viešųjų pirkimų tarnybos direktorius Darius Vedrickas Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos, Viešųjų pirkimų tarnybos, CPO LT atstovai",,Z.  BalčytisA.  AnušauskasR.  Danė,
2025-05-14,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,Teisės departamento (2025-05-06) išvada Konkurencijos įstatymo Nr. VIII-1099 18 ir 33 straipsnių pakeitimo įstatymo projektui Kviečiami dalyvauti: ​Konkurencijos tarybos atstovai,VIII-1099,S.  BucevičiusA.  NorkienėD.  Šaltmeris,
2025-05-07,Ekonomikos komitetas,"Seimo nario J.Sabatausko ir kt. (2025-05-05) pasiūlymas Saugaus eismo automobilių keliais įstatymo Nr. VIII-2043 2 straipsnio pakeitimo ir Įstatymo papildymo 11-4 straipsniu įstatymo projektui Kviečiami dalyvauti: ​Seimo narys J. Sabatauskas, Susisiekimo ministerijos atstovai",VIII-2043,S.  BucevičiusT.  SadauskisA.  AnušauskasD.  Šaltmeris,
2025-05-07,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Švarios pramonės kursas. Bendros konkurencingumo ir priklausomybės nuo iškastinio kuro mažinimo veiksmų gairės ( uždaras ) Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos atstovai","ES-2025-22, COM/2025/85",I.  GelažnikienėA.  NorkienėR. O.  Duburaitė,
2025-05-07,Ekonomikos komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETU Įperkamos energijos veiksmų planas Mūsų energetikos sąjungos tikros vertės atskleidimas siekiant užtikrinti įperkamą, efektyviai naudojamą ir švarią energiją visiems europiečiams ( uždaras ) Kviečiami dalyvauti: ​​Energetikos ministerijos atstovai​","ES-2025-40, COM/2025/79",R.  SinkevičiusD.  KreivysR. O.  Duburaitė,
2025-05-07,Ekonomikos komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Europos automobilių pramonės veiksmų planas ( uždaras ) Kviečiami dalyvauti: ​Susisiekimo ministerijos atstovai","ES-2025-16, COM/2025/95",Z.  BalčytisR.  SinkevičiusR. O.  Duburaitė,
2025-05-07,Ekonomikos komitetas,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI Įmonių transporto priemonių parkų dekarbonizacija ( uždaras ) Kviečiami dalyvauti: ​​Susisiekimo ministerijos atstovai​","ES-2025-17, COM/2025/96",Z.  BalčytisR.  SinkevičiusR. O.  Duburaitė,
2025-05-07,Ekonomikos komitetas,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl ES garantijos pagal Reglamentą (ES) 2021/523 veiksmingumo didinimo ir ataskaitų teikimo reikalavimų supaprastinimo iš dalies keičiami reglamentai (ES) 2015/1017, (ES) 2021/523, (ES) 2021/695 ir (ES) 2021/1153 ( uždaras ) Kviečiami dalyvauti: ​Finansų ministerijos atstovai","ES-2025-30, COM/2025/84",R.  SinkevičiusA.  AnušauskasR. O.  Duburaitė,
2025-05-07,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-05-07,Ekonomikos komitetas,"Atsinaujinančių išteklių energetikos įstatymo Nr. XI-1375 3, 22 ir 22-1 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: Energetikos ministerijos,  Valstybinės energetikos reguliavimo tarnybos, Lietuvos energetikos agentūros, AB „Litgrid“ atstovai​",XI-1375,S.  BucevičiusB.  VėsaitėV.  FiodorovasL.  Jasiukėnienė,
2025-04-30,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,
2025-04-30,Ekonomikos komitetas,"Tarptautinių sankcijų įstatymo Nr. IX-2160 2 ir 15 straipsnių bei priedo pakeitimo ir Įstatymo papildymo 13-1 straipsniu įstatymo projektas Kviečiami dalyvauti: ​Teisingumo ministerijos, Užsienio reikalų ministerijos, Vidaus reikalų ministerijos, Muitinės kriminalinės tarnybos, Finansinių nusikaltimų tyrimų tarnybos atstovai​",IX-2160,S.  BucevičiusA.  NorkienėL.  Jasiukėnienė,
2025-04-30,Ekonomikos komitetas,"Alkoholio kontrolės įstatymo Nr. I-857 2, 10-1, 12, 17 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Seimo narys K. Starkevičius, Žemės ūkio ministerijos atstovai",I-857,T.  SadauskisA.  BagdonasI.  Jurkšuvienė,
2025-04-30,Ekonomikos komitetas,"Kiti klausimai:
1. Sprendimo priėmimas dėl 2025-04-16 komiteto išvažiuojamajame posėdyje svarstyto parlamentinės kontrolės klausimo ""Ryšių reguliavimo tarnybos 2024 metų veiklos ataskaitos svarstymas"".
2. Dėl Ekonomikos komiteto artimiausio posėdžio darbotvarkės.",,S.  BucevičiusR.  Danė,
