date,committee,question,project,responsible,attendees
2025-06-11,Socialinių reikalų ir darbo komitetas,Papildomas (pasirengimas svarstymui),"Papildomo savanoriško pensijų kaupimo įstatymo Nr. VIII-1212 2, 6, 7, 13, 20, 21, 31, 32, 35, 40, 45, 46, 47, 50, 52, 58, 58-2 ir 58-3 straipsnių pakeitimo ir Įstatymo papildymo 5-1, 7-1 ir 49-1 straipsniais įstatymo projektas",,
2025-06-11,Socialinių reikalų ir darbo komitetas,Papildomas (pasirengimas svarstymui),Pensijų kaupimo įstatymo Nr. IX-1691 20 ir 21 straipsnių pakeitimo ir Įstatymo papildymo 26-1 straipsniu įstatymo projektas,,
2025-06-11,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-28,Socialinių reikalų ir darbo komitetas,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl paramos netrukus atleisimiems restruktūrizuojamų įmonių darbuotojams iš dalies keičiamas Reglamentas (ES) 2021/691,"ES-2025-45, COM/2025/140",D.  Aleksejūnienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,"Policijos rėmėjų įstatymo Nr. VIII-800 7, 11 ir 17 straipsnių pakeitimo įstatymo projektas",VIII-800,J.  ZailskienėE.  RudelienėI.  Kuodienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,M.  PetrauskaitėA.  ValinskasD.  Aleksejūnienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 ir 36-4 straipsnių pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
