date,committee,question,project,responsible,attendees
2025-03-26,Švietimo ir mokslo komitetas,Dėl Akademinės etikos ir procedūrų kontrolieriaus tarnybos veiklos ataskaitos,,S.  KairysG.  DrukteinisR.  Steponėnienė,
2025-03-26,Švietimo ir mokslo komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2021 m. gegužės 13 d. nutarimo Nr. XIV-315 „Dėl 2026 metų paskelbimo Žemaičių vyskupo Motiejaus Kazimiero Valančiaus, Lietuvos radijo ir Lietuvos Helsinkio grupės metais“ pakeitimo"" projektas (nauja redakcija)",XIV-315,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-03-26,Švietimo ir mokslo komitetas,Švietimo įstatymo Nr. I-1489 59 straipsnio pakeitimo įstatymo projektas,I-1489,V.  AleknavičienėR.  Steponėnienė,
2025-03-26,Švietimo ir mokslo komitetas,"Švietimo įstatymo Nr. I-1489 23-1, 59 ir 60 straipsnių pakeitimo įstatymo projektas",I-1489,V.  AleknavičienėL.  Vingrytė,
2025-03-26,Švietimo ir mokslo komitetas,Švietimo įstatymo Nr. I-1489 67 straipsnio pakeitimo įstatymo projektas,I-1489,V.  AleknavičienėL.  Vingrytė,
2025-03-26,Švietimo ir mokslo komitetas,Švietimo įstatymo Nr. I-1489 43 straipsnio pakeitimo įstatymo projektas,I-1489,V.  AleknavičienėL.  Vingrytė,
2025-03-26,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,
2025-03-19,Švietimo ir mokslo komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  AleknavičienėL.  Vingrytė,
2025-03-19,Švietimo ir mokslo komitetas,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,XVP-97,A.  Jakavičiutė-MiliauskienėS.  KairysJ.  Varžgalytė-Tiažkijienė,
2025-03-19,Švietimo ir mokslo komitetas,Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,VIII-397,A.  Jakavičiutė-MiliauskienėS.  KairysJ.  Varžgalytė-Tiažkijienė,
2025-03-19,Švietimo ir mokslo komitetas,Valstybinės lietuvių kalbos komisijos 2024 m. veiklos ataskaita,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasL.  Vingrytė,
2025-03-19,Švietimo ir mokslo komitetas,Pristato VLKK pirmininkė Violeta Meiliūnaitė,,A.  Jakavičiutė-MiliauskienėL.  KazlavickasL.  Vingrytė,
2025-03-19,Švietimo ir mokslo komitetas,XVP-181 Seimo nutarimo „Dėl Lietuvos Respublikos Seimo 2016 m. gruodžio 22 d. nutarimo Nr. XIII-186 „Dėl Lituanistikos tradicijų ir paveldo įprasminimo komisijos“ pakeitimo“ projektas,XIII-186,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-03-19,Švietimo ir mokslo komitetas,(jei 03.18 įvyks projekto pateikimas),XIII-186,V.  AleknavičienėJ.  Varžgalytė-Tiažkijienė,
2025-03-19,Švietimo ir mokslo komitetas,Kiti klausimai,,V.  AleknavičienėL.  Vingrytė,
