date,committee,question,project,responsible,attendees
2025-05-21,Aplinkos apsaugos komitetas,Saugomų teritorijų įstatymo Nr. I-301 34 straipsnio pakeitimo įstatymo projektas,I-301,A.  RadvilavičiusT.  TomilinasA.  GedvilienėL.  GirskienėJ.  Jakučionytė,
2025-05-21,Aplinkos apsaugos komitetas,Kiti klausimai,,L.  JonauskasA.  Latvėnė,
2025-05-21,Aplinkos apsaugos komitetas,Dėl ES teisės pažeidimo procedūros dėl Natura 2000 tinklo (uždaras klausimas) ( uždaras ),,L.  JonauskasR. L.  Matusevičiūtė,
2025-05-16,Aplinkos apsaugos komitetas,Atliekų tvarkymo įstatymo Nr. VIII-787 pakeitimo įstatymo projektas,VIII-787,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Atliekų tvarkymo įstatymo Nr. VIII-787 1, 2, 3, 3-1, 3-2, 4, 7, 11-1, 12-1, 18-2, 22, 30, 32, 33, 34, 34-1, 34-2, 34-3, 34-4, 34-7, 34-8, 34-15, 34-18, 34-23, 34-25, 34-26, 34-28, 34-31 straipsnių, šeštojo skirsnio, 5 priedo pakeitimo ir Įstatymo papildymo 32-1 straipsniu ir antruoju-2 skirsniu įstatymo Nr. XIV-407 14 ir 33 straipsnių pakeitimo įstatymo projektas",VIII-787; XIV-407,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Pakuočių ir pakuočių atliekų tvarkymo įstatymo Nr. IX-517 2, 6, 7, 7-1, 7-2, 10, 11-2 straipsnių pakeitimo ir Įstatymo papildymo 10-1 straipsniu įstatymo projektas",IX-517,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 1, 2, 4, 6, 7, 9, 11 straipsnių ir 3, 7, 8 priedų pakeitimo įstatymo projektas",VIII-1183,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Mokesčio už aplinkos teršimą įstatymo Nr. VIII-1183 6, 9 straipsnių ir 4 priedo pakeitimo įstatymo Nr. XIV-2173 2 straipsnio pakeitimo įstatymo projektas",VIII-1183; XIV-2173,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,Rinkliavų įstatymo Nr. VIII-1725 11 ir 13 straipsnių pakeitimo įstatymo projektas,VIII-1725,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Aplinkos apsaugos įstatymo Nr. I-2223 47, 84, 85, 94, 95, 99, 102, 105 ir 107 straipsnių pakeitimo ir Įstatymo papildymo 102-2 ir 102-3 straipsniais įstatymo projektas",I-2223,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-16,Aplinkos apsaugos komitetas,"Administracinių nusižengimų kodekso   241, 248, 249, 250, 252, 255, 608 straipsnių ir priedo pakeitimo įstatymo  projektas",XIVP-4020,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-14,Aplinkos apsaugos komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  JonauskasA.  Latvėnė,
2025-05-14,Aplinkos apsaugos komitetas,"Aplinkos apsaugos įstatymo Nr. I-2223 15, 19, 19-1, 19-2, 55, 56 straipsnių pakeitimo ir Įstatymo papildymo 15-1 straipsniu įstatymo projektas",I-2223,A.  MockusL.  GirskienėR. L.  Matusevičiūtė,
2025-05-14,Aplinkos apsaugos komitetas,"Planuojamos ūkinės veiklos poveikio aplinkai vertinimo įstatymo Nr. I-1495 2, 3, 8, 11 straipsnių ir Įstatymo 1, 2 priedų pakeitimo įstatymo projektas",I-1495,A.  MockusL.  GirskienėR. L.  Matusevičiūtė,
